     80 on	Information	Systems,
     80 date:	September	2008.
     80 Vol.	26,	No.
     80 Transactions	on	Information
     80 Systems,	Vol.	26,
     80 Publication	date:	September
     80 No.	4,	Article
     80 Information	Systems,	Vol.
     80 ACM	Transactions	on
     80 26,	No.	4,
     74 .	.	.
     69 In	Proceedings	of
     68 in	order	to
     64 Proceedings	of	the
     63 the	number	of
     52 be	able	to
     47 a	set	of
     46 Article	24,	Publication
     46 4,	Article	24,
     46 24,	Publication	date:
     43 .	ACM	Press,
     40 in	terms	of
     39 by	means	of
     38 some	of	the
     37 in	the	current
     35 the	use	of
     33 as	well	as
     33 Summary	and	Conclusion
     31 that	it	is
     30 the	TagLog	system
     30 on	Human	Factors
     30 Human	Factors	in
     30 Factors	in	Computing
     29 of	the	TagLog
     29 in	Computing	Systems
     29 Computing	Systems	CHI
     28 with	respect	to
     28 In	order	to
     28 Article	23,	Publication
     28 4,	Article	23,
     28 23,	Publication	date:
     27 the	fact	that
     27 can	be	used
     27 an	instance	of
     26 the	process	of
     26 in	the	TagLog
     26 followed	by	a
     26 be	used	to
     26 Bernstein	et	al.
     25 to	be	able
     25 the	Statement	Browser
     25 the	SIGCHI	Conference
     25 of	the	SIGCHI
     25 of	a	particular
     25 in	the	sense
     25 a	kind	of
     24 the	current	theory,
     24 part	of	the
     24 in	the	form
     24 a	description	of
     23 to	the	current
     23 the	purpose	of
     23 the	notion	of
     23 is	true	iff
     23 in	the	text
     23 September	2008.	Information
     23 M.	Bernstein	et
     22 the	current	theory
     22 of	information	scraps
     22 is	able	to
     22 a	matter	of
     22 SIGCHI	Conference	on
     22 2008.	Information	Scraps
     21 we	want	to
     21 the	set	of
     21 the	form	of
     21 Conference	on	Human
     20 the	rest	of
     20 the	other	hand,
     20 segment	in	the
     20 description	of	the
     19 logical	approach	to
     19 is	not	a
     19 instance	of	the
     19 instance	of	a
     19 The	Logic	of
     18 the	development	of
     18 the	case	of
     18 such	as	the
     18 of	the	current
     18 a	variety	of
     17 they	can	be
     17 the	current	theory.
     17 the	content	of
     17 respect	to	the
     17 it	can	be
     17 is	a	noun
     17 approach	to	corpus
     17 and	so	on.
     17 On	the	other
     17 In	this	chapter,
     16 of	personal	information
     16 not	have	to
